Time,PPG,Acc
18.92,356.21417,0.99971
18.94,352.31735,0.99957
18.96,349.84497,0.97798
18.98,350.64361,0.99914
19,354.94415,1.00086
19.02,363.57366,0.99577
19.04,376.51403,0.99871
19.06,391.04553,0.99871
19.08,404.13281,0.98506
19.1,412.42453,0.9889
19.12,413.00939,0.98399
19.14,406.84704,0.98924
19.16,397.33959,0.99533
19.18,388.25671,0.99914
19.2,383.47534,0.99422
19.22,383.2861,0.99422
19.24,384.23742,0.9904
19.26,383.67846,0.98785
19.28,380.31701,0.97916
19.3,374.79278,0.98871
19.32,369.98004,0.9889
19.34,366.49133,0.99274
19.36,362.82348,0.9889
19.38,358.95733,0.99461
19.4,354.86791,0.99307
19.42,350.73974,0.99504
19.44,348.1076,0.99871
19.46,346.98626,0.99307
19.48,347.18786,0.98832
19.5,350.80706,0.98506
19.52,359.37438,0.99461
19.54,373.18377,0.98972
19.56,391.27062,0.98972
19.58,409.14379,0.98972
19.6,421.68142,0.99962
19.62,426.71136,0.98785
19.64,424.43453,0.97798
19.66,418.12207,0.99871
19.68,412.14428,0.99422
19.7,407.64282,0.99785
19.72,404.00347,1.00327
19.74,400.48577,1.00327
19.76,396.03582,0.9936
19.78,391.69183,0.99995
19.8,389.10177,0.98915
19.82,387.36431,0.97891
19.84,385.02453,0.99971
19.86,381.06744,0.99924
19.88,375.1798,0.98799
19.9,369.34643,0.9889
19.92,364.99353,0.9936
19.94,361.23809,0.98871
19.96,357.71984,0.98399
19.98,354.34344,0.9889
